,PMT Lung fibroblasts Dex 2021,PMT Lung fibroblasts Dex 2021,PMT Lung fibroblasts Dex 2021
0,1.78740777397822,0.236918102295455,3
0.25,1.50647841907694,0.152448443648879,3
0.5,1.18894452004363,0.0841362513736903,3
0.75,1.02100416561448,0.0281425178678194,3
1,0.936029870214347,0.0170208886492549,3
1.25,0.874932504050924,0.0297766525030074,3
1.5,0.834676711169791,0.0579644974167177,3
1.75,0.784032227142204,0.0527110190101613,3
2,0.750233477597229,0.0710317049381864,3
2.25,0.724745724816994,0.0828925624143536,3
2.5,0.70437748216825,0.0795464446788814,3
2.75,0.70370800285018,0.0896266746842964,3
3,0.722280560374764,0.090727190287029,3
3.25,0.741542157320622,0.0763837953677873,3
3.5,0.770124487404147,0.0722438706520129,3
3.75,0.828313515090395,0.08673726392532,3
4,0.856330450259265,0.06555240478512,3
4.25,0.891641289989919,0.0538196033755612,3
4.5,0.910067786794972,0.054963955885567,3
4.75,0.927300205966968,0.0517578396007541,3
5,0.932490334843643,0.0410304173412843,3
5.25,0.942231913878103,0.0545887268730666,3
5.5,0.932664179599197,0.0669845456494529,3
5.75,0.902074545509571,0.0597586425786047,3
6,0.88769404444575,0.0679008514460975,3
6.25,0.860515524584427,0.0681223633199728,3
6.5,0.829790290772819,0.075013746837501,3
6.75,0.793661814185934,0.0613893610258939,3
7,0.76179701458584,0.0661208056470976,3
7.25,0.734411392362173,0.0777176591527382,3
7.5,0.700471956993797,0.08274894796728,3
7.75,0.666695564089623,0.083938225507756,3
8,0.644332835485817,0.0843898925713001,3
8.25,0.621930960774676,0.087793063984834,3
8.5,0.596828221552173,0.0913660682711229,3
8.75,0.579506397438136,0.0951648817108651,3
9,0.561540060706324,0.105644581259724,3
9.25,0.54478010182055,0.0967339571093984,3
9.5,0.532537019455985,0.0986433187953447,3
9.75,0.508670341854712,0.0943171777899229,3
10,0.508435158601926,0.114146893485436,3
10.25,0.498461531738231,0.108167091312599,3
10.5,0.490238864526738,0.106933292342384,3
10.75,0.483252912920196,0.105765157333431,3
11,0.477187011814936,0.110483181644923,3
11.25,0.476813870635182,0.117160969761406,3
11.5,0.462431600230225,0.103732841319373,3
11.75,0.465356640663339,0.110292682339448,3
12,0.464389907673717,0.104784637662083,3
12.25,0.459302883978774,0.0997111199873633,3
12.5,0.457109453110688,0.0988731620798966,3
12.75,0.46020754077271,0.115866180771829,3
13,0.466781467496955,0.109805042013317,3
13.25,0.465502153236939,0.109915148300019,3
13.5,0.472637946670257,0.103235931013191,3
13.75,0.475570188348854,0.100362617622432,3
14,0.488098458946308,0.110696878789462,3
14.25,0.490884236027467,0.107906358993714,3
14.5,0.495536061114808,0.0993272473760352,3
14.75,0.495910923482321,0.0934993004795911,3
15,0.510343963998733,0.0946281977205003,3
15.25,0.52072871739065,0.0976155969011543,3
15.5,0.529023220448791,0.0986169120921386,3
15.75,0.534654641233775,0.0762737243104854,3
16,0.553087608840753,0.0938879310375566,3
16.25,0.565927294312676,0.0914750388989657,3
16.5,0.58150013635046,0.0907137741647917,3
16.75,0.587778225317813,0.0831057515102269,3
17,0.604817577448097,0.085345700269945,3
17.25,0.618057965272665,0.0747924932272808,3
17.5,0.641344254351284,0.0838519796670861,3
17.75,0.663551491847903,0.0888369007131217,3
18,0.669172368748481,0.0733663503742799,3
18.25,0.693967886964549,0.0634755981933826,3
18.5,0.704944946966101,0.0579029364963023,3
18.75,0.716676019451389,0.0569827756344429,3
19,0.73667398954496,0.0505636795394766,3
19.25,0.769406998588905,0.0532834490117654,3
19.5,0.77802202753817,0.0523041993675181,3
19.75,0.800169401245191,0.0440034140871859,3
20,0.827343966467,0.0426746620104621,3
20.25,0.841744427088904,0.0521410208341007,3
20.5,0.854951120795871,0.0404471188957443,3
20.75,0.86341740437153,0.031557557788679,3
21,0.876555084377761,0.0323104295561535,3
21.25,0.894828779803641,0.0379107687127054,3
21.5,0.909393512197779,0.0331194297004089,3
21.75,0.920156292879696,0.0336436728720558,3
22,0.939296719845312,0.0286558817948721,3
22.25,0.946892161199496,0.0234817783667068,3
22.5,0.951875802812423,0.0224864905097004,3
22.75,0.967245224581099,0.015290644574273,3
23,0.974701882771455,0.010753985937085,3
23.25,0.984153397753333,0.0125789157023394,3
23.5,0.98171658154066,0.00449399882719118,3
23.75,0.983453037409794,0.00291543393539598,3
24,0.991540199761086,0.0081986633434723,3
24.25,0.99990537678335,0.00016389221881396,3
24.5,0.985760075477857,0.0112561469242737,3
24.75,0.985783376749771,0.00283112641484425,3
25,0.98346931759455,0.00696005835517905,3
25.25,0.975588642681191,0.0145701360169945,3
25.5,0.981619048149875,0.00498537501469287,3
25.75,0.970069424924201,0.0146289402974679,3
26,0.967776158660082,0.00896057979303659,3
26.25,0.954210386590106,0.00676103786154345,3
26.5,0.950200851555881,0.0124027814165545,3
26.75,0.940344485026305,0.00674496637768291,3
27,0.929865409498138,0.00501316090826206,3
27.25,0.926072327812449,0.014637732742404,3
27.5,0.902476988688595,0.0148169190816058,3
27.75,0.902764060014191,0.0176060926930208,3
28,0.88528791349897,0.0106830664364793,3
28.25,0.881594404475733,0.0136581442471331,3
28.5,0.870660822621467,0.0247291961196183,3
28.75,0.862314043345704,0.0304427760150337,3
29,0.854177432048061,0.0368168027199072,3
29.25,0.839374033837038,0.0415060590732534,3
29.5,0.816695236421726,0.0321338433719284,3
29.75,0.812106358978275,0.0419443398910758,3
30,0.792047492369083,0.0442096246311132,3
30.25,0.777702263609721,0.0468667418691148,3
30.5,0.775268712120354,0.04678362005161,3
30.75,0.75406291279829,0.0401969161470251,3
31,0.744177818768907,0.0475009667552608,3
31.25,0.738637161379552,0.050803965551542,3
31.5,0.71327023473672,0.0427429339307852,3
31.75,0.704443550565926,0.0480016384411013,3
32,0.696786995851994,0.0557773658869317,3
32.25,0.689642263239866,0.0681507159167008,3
32.5,0.682242444317758,0.065336715573187,3
32.75,0.671804239286539,0.0644898578492858,3
33,0.654334719842216,0.0703971102806288,3
33.25,0.654535405739433,0.0682955585535495,3
33.5,0.642161134768697,0.0678336772869643,3
33.75,0.634407875253321,0.0659474500105493,3
34,0.627344272174506,0.0705928354297898,3
34.25,0.61826088304263,0.0696492751783328,3
34.5,0.614395419552011,0.0755321507845247,3
34.75,0.604635333940149,0.076555198583002,3
35,0.611514628005826,0.0874670688772607,3
35.25,0.60296523782469,0.09129550023588,3
35.5,0.604797681782525,0.083488888281782,3
35.75,0.605652006000323,0.0859537221424505,3
36,0.594140375007919,0.0721979066056858,3
36.25,0.588414543415288,0.0827494928176498,3
36.5,0.586859166251561,0.0816153914348445,3
36.75,0.589941560568796,0.0923912819175623,3
37,0.586967136713775,0.0721846055175172,3
37.25,0.59567188646111,0.088452506113957,3
37.5,0.588672213408587,0.0770459507121802,3
